id,perspective,from_date,to_date,tiktok,news,created_at
1,Scam,2024-11-21,2024-11-22,1,0,2024-11-21 14:24:41
2,Scam,2024-11-21,2024-11-22,1,0,2024-11-21 14:34:07
3,Hate Speech,2024-11-21,2024-11-22,1,0,2024-11-21 16:28:18
4,scam,2024-11-26,2024-11-27,1,0,2024-11-26 11:51:17
5,racism,2024-11-26,2024-11-26,1,0,2024-11-26 12:13:02
6,racism,2024-11-26,2024-11-26,1,0,2024-11-26 12:14:48
7,racism,2024-11-26,2024-11-26,1,0,2024-11-26 12:17:27
8,racism,2024-11-26,2024-11-27,1,0,2024-11-26 12:28:58
9,racism,2024-11-26,2024-11-26,1,1,2024-11-26 12:42:35
10,racism,2024-11-26,2024-11-27,1,1,2024-11-26 12:43:53
11,racism,2024-11-26,2024-11-26,1,0,2024-11-26 14:14:16
12,racism,2024-11-26,2024-11-26,1,0,2024-11-26 15:14:52
13,Race,2024-11-26,2024-11-29,1,0,2024-11-26 15:38:01
14,racism,2024-11-26,2024-11-26,1,0,2024-11-26 15:44:16
15,racism,2024-11-26,2024-11-29,1,0,2024-11-26 15:48:29
16,racism,2024-11-26,2024-11-27,1,0,2024-11-26 16:00:51
17,racism,2024-11-26,2024-11-29,1,0,2024-11-26 16:03:36
18,racism,2024-11-26,2024-11-29,1,0,2024-11-26 16:14:32
19,racism,2024-11-26,2024-11-29,1,0,2024-11-26 16:32:34
20,racism,2024-11-26,2024-11-27,1,1,2024-11-26 16:40:40
21,racism,2024-11-26,2024-11-27,1,1,2024-11-26 16:42:56
22,racism,2024-11-26,2024-11-27,1,1,2024-11-26 16:47:36
23,racism,2024-11-26,2024-11-27,1,1,2024-11-26 16:50:27
24,racism,2024-11-26,2024-11-27,1,1,2024-11-26 16:50:30
25,racism,2024-11-26,2024-11-27,1,1,2024-11-26 16:50:45
26,racism,2024-11-26,2024-11-27,1,1,2024-11-26 16:57:13
27,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:14:53
28,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:21:36
29,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:21:38
30,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:29:36
31,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:34:34
32,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:40:35
33,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:45:24
34,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:50:29
35,racism,2024-11-26,2024-11-27,1,1,2024-11-26 17:56:24
36,violence,2024-11-27,2024-11-30,1,1,2024-11-27 12:24:04
37,violence,2024-11-27,2024-11-30,1,1,2024-11-27 12:24:06
38,violence,2024-11-27,2024-11-30,1,1,2024-11-27 12:24:07
39,financial scam,2024-11-27,2024-11-29,1,0,2024-11-27 12:27:54
40,financial scam,2024-11-27,2024-11-29,1,0,2024-11-27 12:27:55
41,financial scam,2024-11-27,2024-11-29,1,0,2024-11-27 12:28:43
42,financial scam,2024-11-27,2024-11-29,1,0,2024-11-27 12:30:31
43,marketing and sales,2024-11-29,2024-11-30,1,0,2024-11-27 12:37:39
44,health risk,2025-01-04,2025-01-07,1,0,2024-11-27 12:55:10
45,scam,2024-11-27,2024-11-29,1,0,2024-11-27 14:53:13
46,Hate Speech,2024-11-27,2024-11-27,1,1,2024-11-27 17:05:18
47,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 09:19:07
48,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 09:21:40
49,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 09:30:20
50,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:01:19
51,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:04:57
52,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:20:03
53,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:27:05
54,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:39:21
55,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:45:08
56,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:55:19
57,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 10:58:44
58,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:02:46
59,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:15:43
60,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:19:36
61,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:23:18
62,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:25:33
63,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:30:00
64,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:30:41
65,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:32:05
66,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:39:01
67,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 11:50:55
68,Racism,2024-11-27,2024-11-28,1,1,2024-11-28 12:18:50
69,Insult,2024-11-27,2024-11-28,1,1,2024-11-28 15:29:13
70,Insult,2024-11-27,2024-11-28,1,1,2024-11-28 15:30:10
